     TIME      BNDY    WATER      WATER      WATER       HEAT       HEAT       HEAT
               FACE     FLUX       FLUX       FLUX       FLUX       FLUX       FLUX
                       TOTAL      TIME STEP   RATE      TOTAL      TIME STEP   RATE
  3.858050E-03     4 -4.775E-17 -6.979E-18 -9.393E-15 -5.248E+02 -1.008E+02 -1.357E+05
  3.858050E-03     1  0.000E+00  0.000E+00  0.000E+00 -5.248E+02 -1.008E+02 -1.357E+05
  4.749660E-03     4 -6.567E-17 -1.792E-17 -2.010E-14 -6.457E+02 -1.209E+02 -1.356E+05
  4.749660E-03     1  0.000E+00  0.000E+00  0.000E+00 -6.457E+02 -1.209E+02 -1.356E+05
  5.819592E-03     4 -1.037E-16 -3.802E-17 -3.554E-14 -7.905E+02 -1.448E+02 -1.354E+05
  5.819592E-03     1  0.000E+00  0.000E+00  0.000E+00 -7.905E+02 -1.448E+02 -1.354E+05
  7.103511E-03     4 -2.456E-16 -1.419E-16 -1.105E-13 -9.640E+02 -1.735E+02 -1.351E+05
  7.103511E-03     1  0.000E+00  0.000E+00  0.000E+00 -9.640E+02 -1.735E+02 -1.351E+05
  7.203511E-03     4 -2.597E-16 -1.411E-17 -1.411E-13 -9.775E+02 -1.350E+01 -1.350E+05
  7.203511E-03     1  0.000E+00  0.000E+00  0.000E+00 -9.775E+02 -1.350E+01 -1.350E+05
  7.323511E-03     4 -2.867E-16 -2.703E-17 -2.252E-13 -9.937E+02 -1.620E+01 -1.350E+05
  7.323511E-03     1  0.000E+00  0.000E+00  0.000E+00 -9.937E+02 -1.620E+01 -1.350E+05
  7.467511E-03     4 -3.078E-16 -2.102E-17 -1.460E-13 -1.013E+03 -1.943E+01 -1.350E+05
  7.467511E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.013E+03 -1.943E+01 -1.350E+05
  7.640311E-03     4 -3.479E-16 -4.017E-17 -2.325E-13 -1.036E+03 -2.332E+01 -1.349E+05
  7.640311E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.036E+03 -2.332E+01 -1.349E+05
  7.847671E-03     4 -4.003E-16 -5.239E-17 -2.527E-13 -1.064E+03 -2.797E+01 -1.349E+05
  7.847671E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.064E+03 -2.797E+01 -1.349E+05
  8.096503E-03     4 -4.735E-16 -7.319E-17 -2.941E-13 -1.098E+03 -3.355E+01 -1.348E+05
  8.096503E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.098E+03 -3.355E+01 -1.348E+05
  8.395101E-03     4 -5.684E-16 -9.491E-17 -3.178E-13 -1.138E+03 -4.025E+01 -1.348E+05
  8.395101E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.138E+03 -4.025E+01 -1.348E+05
  8.753419E-03     4 -7.508E-16 -1.823E-16 -5.089E-13 -1.187E+03 -4.828E+01 -1.347E+05
  8.753419E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.187E+03 -4.828E+01 -1.347E+05
  9.183401E-03     4 -1.079E-15 -3.284E-16 -7.637E-13 -1.244E+03 -5.790E+01 -1.347E+05
  9.183401E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.244E+03 -5.790E+01 -1.347E+05
  9.699379E-03     4 -1.671E-15 -5.918E-16 -1.147E-12 -1.314E+03 -6.943E+01 -1.346E+05
  9.699379E-03     1  0.000E+00  0.000E+00  0.000E+00 -1.314E+03 -6.943E+01 -1.346E+05
  1.031855E-02     4 -2.904E-15 -1.233E-15 -1.991E-12 -1.397E+03 -8.325E+01 -1.345E+05
  1.031855E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.397E+03 -8.325E+01 -1.345E+05
  1.106156E-02     4 -5.914E-15 -3.010E-15 -4.051E-12 -1.497E+03 -9.981E+01 -1.343E+05
  1.106156E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.497E+03 -9.981E+01 -1.343E+05
  1.116156E-02     4 -6.350E-15 -4.355E-16 -4.355E-12 -1.510E+03 -1.342E+01 -1.342E+05
  1.116156E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.510E+03 -1.342E+01 -1.342E+05
  1.128156E-02     4 -6.918E-15 -5.687E-16 -4.739E-12 -1.526E+03 -1.611E+01 -1.342E+05
  1.128156E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.526E+03 -1.611E+01 -1.342E+05
  1.142556E-02     4 -7.674E-15 -7.555E-16 -5.247E-12 -1.546E+03 -1.933E+01 -1.342E+05
  1.142556E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.546E+03 -1.933E+01 -1.342E+05
  1.159836E-02     4 -8.697E-15 -1.023E-15 -5.923E-12 -1.569E+03 -2.319E+01 -1.342E+05
  1.159836E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.569E+03 -2.319E+01 -1.342E+05
  1.180572E-02     4 -1.012E-14 -1.423E-15 -6.865E-12 -1.597E+03 -2.782E+01 -1.341E+05
  1.180572E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.597E+03 -2.782E+01 -1.341E+05
  1.205455E-02     4 -1.217E-14 -2.050E-15 -8.239E-12 -1.630E+03 -3.337E+01 -1.341E+05
  1.205455E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.630E+03 -3.337E+01 -1.341E+05
  1.235315E-02     4 -1.522E-14 -3.046E-15 -1.020E-11 -1.670E+03 -4.003E+01 -1.340E+05
  1.235315E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.670E+03 -4.003E+01 -1.340E+05
  1.271147E-02     4 -1.999E-14 -4.775E-15 -1.333E-11 -1.718E+03 -4.801E+01 -1.340E+05
  1.271147E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.718E+03 -4.801E+01 -1.340E+05
  1.314145E-02     4 -2.780E-14 -7.809E-15 -1.816E-11 -1.776E+03 -5.758E+01 -1.339E+05
  1.314145E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.776E+03 -5.758E+01 -1.339E+05
  1.365743E-02     4 -4.142E-14 -1.361E-14 -2.639E-11 -1.845E+03 -6.905E+01 -1.338E+05
  1.365743E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.845E+03 -6.905E+01 -1.338E+05
  1.427660E-02     4 -6.690E-14 -2.549E-14 -4.116E-11 -1.928E+03 -8.279E+01 -1.337E+05
  1.427660E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.928E+03 -8.279E+01 -1.337E+05
  1.501961E-02     4 -1.183E-13 -5.141E-14 -6.919E-11 -2.027E+03 -9.926E+01 -1.336E+05
  1.501961E-02     1  0.000E+00  0.000E+00  0.000E+00 -2.027E+03 -9.926E+01 -1.336E+05
  1.591122E-02     4 -2.303E-13 -1.120E-13 -1.256E-10 -2.146E+03 -1.190E+02 -1.334E+05
  1.591122E-02     1  0.000E+00  0.000E+00  0.000E+00 -2.146E+03 -1.190E+02 -1.334E+05
  1.698115E-02     4 -4.931E-13 -2.628E-13 -2.456E-10 -2.288E+03 -1.426E+02 -1.333E+05
  1.698115E-02     1  0.000E+00  0.000E+00  0.000E+00 -2.288E+03 -1.426E+02 -1.333E+05
  1.826507E-02     4 -1.152E-12 -6.589E-13 -5.132E-10 -2.459E+03 -1.708E+02 -1.330E+05
  1.826507E-02     1  0.000E+00  0.000E+00  0.000E+00 -2.459E+03 -1.708E+02 -1.330E+05
  1.980577E-02     4 -2.899E-12 -1.747E-12 -1.134E-09 -2.664E+03 -2.046E+02 -1.328E+05
  1.980577E-02     1  0.000E+00  0.000E+00  0.000E+00 -2.664E+03 -2.046E+02 -1.328E+05
  2.165462E-02     4 -7.738E-12 -4.839E-12 -2.617E-09 -2.909E+03 -2.450E+02 -1.325E+05
  2.165462E-02     1  0.000E+00  0.000E+00  0.000E+00 -2.909E+03 -2.450E+02 -1.325E+05
  2.387323E-02     4 -2.159E-11 -1.385E-11 -6.243E-09 -3.202E+03 -2.932E+02 -1.321E+05
  2.387323E-02     1  0.000E+00  0.000E+00  0.000E+00 -3.202E+03 -2.932E+02 -1.321E+05
  2.653556E-02     4 -6.220E-11 -4.061E-11 -1.525E-08 -3.553E+03 -3.507E+02 -1.317E+05
  2.653556E-02     1  0.000E+00  0.000E+00  0.000E+00 -3.553E+03 -3.506E+02 -1.317E+05
  2.973036E-02     4 -1.833E-10 -1.211E-10 -3.791E-08 -3.972E+03 -4.192E+02 -1.312E+05
  2.973036E-02     1  0.000E+00  0.000E+00  0.000E+00 -3.972E+03 -4.192E+02 -1.312E+05
  3.356412E-02     4 -5.496E-10 -3.663E-10 -9.553E-08 -4.473E+03 -5.008E+02 -1.306E+05
  3.356412E-02     1  0.000E+00  0.000E+00  0.000E+00 -4.472E+03 -5.007E+02 -1.306E+05
  3.816463E-02     4 -1.671E-09 -1.121E-09 -2.437E-07 -5.070E+03 -5.977E+02 -1.299E+05
  3.816463E-02     1  0.000E+00  0.000E+00  0.000E+00 -5.070E+03 -5.977E+02 -1.299E+05
  4.368525E-02     4 -5.147E-09 -3.476E-09 -6.297E-07 -5.783E+03 -7.129E+02 -1.291E+05
  4.368525E-02     1  0.000E+00  0.000E+00  0.000E+00 -5.783E+03 -7.128E+02 -1.291E+05
  5.030998E-02     4 -1.607E-08 -1.092E-08 -1.649E-06 -6.632E+03 -8.494E+02 -1.282E+05
  5.030998E-02     1  0.000E+00  0.000E+00  0.000E+00 -6.632E+03 -8.491E+02 -1.282E+05
  5.825967E-02     4 -1.151E-07 -9.903E-08 -1.246E-05 -7.645E+03 -1.012E+03 -1.273E+05
  5.825967E-02     1  0.000E+00  0.000E+00  0.000E+00 -7.642E+03 -1.010E+03 -1.271E+05
  6.779929E-02     4 -2.932E-05 -2.920E-05 -3.061E-03 -9.396E+03 -1.751E+03 -1.836E+05
  6.779929E-02     1  0.000E+00  0.000E+00  0.000E+00 -8.852E+03 -1.209E+03 -1.268E+05
  7.924684E-02     4 -1.077E-03 -1.048E-03 -9.152E-02 -3.115E+04 -2.175E+04 -1.900E+06
  7.924684E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.059E+04 -1.740E+03 -1.520E+05
  9.298389E-02     4 -9.682E-03 -8.605E-03 -6.264E-01 -2.178E+05 -1.867E+05 -1.359E+07
  9.298389E-02     1  0.000E+00  0.000E+00  0.000E+00 -1.496E+04 -4.363E+03 -3.176E+05
  1.000000E-01     4 -1.771E-02 -8.026E-03 -1.144E+00 -4.514E+05 -2.336E+05 -3.330E+07
  1.000000E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.904E+04 -4.081E+03 -5.816E+05
  1.001200E-01     4 -1.785E-02 -1.396E-04 -1.163E+00 -4.567E+05 -5.245E+03 -4.371E+07
  1.001200E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.912E+04 -8.587E+01 -7.156E+05
  1.002640E-01     4 -1.802E-02 -1.702E-04 -1.182E+00 -4.630E+05 -6.344E+03 -4.406E+07
  1.002640E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.923E+04 -1.037E+02 -7.203E+05
  1.004368E-01     4 -1.823E-02 -2.078E-04 -1.202E+00 -4.708E+05 -7.738E+03 -4.478E+07
  1.004368E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.935E+04 -1.261E+02 -7.299E+05
  1.006442E-01     4 -1.848E-02 -2.540E-04 -1.225E+00 -4.802E+05 -9.452E+03 -4.558E+07
  1.006442E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.950E+04 -1.535E+02 -7.401E+05
  1.008930E-01     4 -1.879E-02 -3.113E-04 -1.251E+00 -4.918E+05 -1.157E+04 -4.649E+07
